Name,Line 1,Line 2,Town,County,Postcode,lat,lng
Beefeater Heaton Park (Manchester),Middleton Road,Crumpsall,Manchester,Greater Manchester,M8 4NB,53.5297812,-2.2456561
Beefeater Highwayman,Baslow Road,Eastmoor,Chesterfield,Derbyshire,S42 7DA,53.2378443,-1.5418082
Beefeater Hilden Manor,London Road,,Tonbridge,Kent,TN10 3AN,51.20625320000001,0.2612713
Beefeater Lady Nairne,228 Willowbrae Road,,Edinburgh,,EH8 7NG,55.9465385,-3.1372565
Beefeater Liberty Bell,Mercury Gardens,,Romford,Greater London,RM1 3EN,51.5779446,0.1865155
Beefeater Loch Ness House,Glenurquhart Road,,Inverness,Highland Council,IV3 5TD,57.4646687,-4.246557999999999
Beefeater London Hayes,Millington Road,,Hayes,Greater London,UB3 4AZ,51.5022106,-0.4265946
Beefeater London Uxbridge,Riverside Way,,Uxbridge,Greater London,UB8 2YF,51.5425334,-0.489846
Beefeater London Woolwich,Beresford Street,,London,Greater London,SE18 6BF,51.4927322,0.0673483
Beefeater Long Reach,Thanet Way,,Whitstable,Kent,CT5 3DB,51.341465,1.019899
Beefeater Longford House,Watling Street,,Cannock,Staffordshire,WS11 1SJ,52.6798687,-2.0491916
Beefeater Longford Inn,Tewkesbury Road,Longford,Gloucester,Gloucestershire,GL2 9BE,51.8808786,-2.2397047
Beefeater Malta Inn,Allington Lock Sandling Nr,,Maidstone,Kent,ME14 3AS,51.29590229999999,0.5079003
Beefeater Manor Farm,High Street,Gillingham,Rainham,Gillingham,ME8 7JE,51.36469109999999,0.6033402999999999
Beefeater Manor Inn,Guildford Road,,Godalming,Surrey,GU7 3BX,51.196129,-0.592727
Beefeater Marsh Mills,300 Plymouth Road,Crabtree,Plymouth,,PL3 6RW,50.3909171,-4.088945499999999
Beefeater Medina Quay,Fairlee Road,,Newport,Isle of Wight,PO30 2DN,50.7068412,-1.2905139
Beefeater Merry Monk,Mercia Park,,Burton-on-Trent,Staffordshire,DE14 2DQ,52.795568,-1.6614206
Beefeater Micklehead Green,Euro Link Lea Green,,Saint Helens,Merseyside,WA9 4TT,53.4176244,-2.7449405
Beefeater Mill House,Brighton Road,Salfords,Redhill,Surrey,RH1 5BT,51.20564,-0.166967
Beefeater Mill Lodge,Lincoln Road,,Lincoln,Lincolnshire,LN4 2RF,53.21148609999999,-0.5236898999999999
Beefeater Millers Barn,The Phoenix centre,Cinder Hill Road,Nottingham,,NG8 6AS,52.98776729999999,-1.2080155
Beefeater Monkey Puzzle (Chessington),Leatherhead Road,,Chessington,Greater London,KT9 2NE,51.3468324,-0.3154635
Beefeater Moor Farm,Annitsford,Annitsford,Cramlington,Northumberland,NE23 7QA,55.06532,-1.5815538
Beefeater Moor Mill,Smug Oak Lane,Bricket Wood,Radlett,St Albans,AL2 3PN,51.7089961,-0.3364599
Beefeater Morris Dancers,Southport Road,Scarisbrick,Ormskirk,Lancashire,L40 9RG,53.610131,-2.934385
Beefeater Morton Park,Morton Park Way,,Darlington,,DL1 4PJ,54.518695,-1.5034174
Beefeater Moseley Park,Business Park,Greenfield Lane,Wolverhampton,West Midlands,WV10 6TA,52.635855,-2.124004
Beefeater Norman Jepson,Bluebell Way,Fulwood,Preston,Lancashire,PR2 5PZ,53.7900182,-2.6586183
Beefeater Oast & Squire,Peak Lane,The Avenue,Fareham,Hampshire,PO14 1RJ,50.8510168,-1.2114777
Beefeater Ock Mill,Marcham Road,,Abingdon,Oxfordshire,OX14 1AD,51.669531,-1.2986881
Beefeater Orchard,Ickenham Road,,Ruislip,Greater London,HA4 7DR,51.5729463,-0.4311608
Beefeater Oxford North,Langford Lane,Kidlington,Oxford,Oxfordshire,OX5 1RA,51.8301752,-1.3122211
Beefeater Oyster Reach,Bourne Hill,Wherstead,Ipswich,Suffolk,IP2 8ND,52.0330551,1.1500779
Beefeater Packet Steamer,Northern Perimeter Road,,Bootle,Merseyside,L30 7PT,53.4900568,-2.9565854
Beefeater Pavilion,Hutton Moor Road,,Weston-super-Mare,North Somerset,BS22 8LY,51.3438841,-2.9498329
Beefeater Pemberton,Llandafen Road,,Llanelli,Carmarthenshire,SA14 9BD,51.68189659999999,-4.132949099999999
Beefeater Preston Brook,Chester Road,Murdishaw,Runcorn,Runcorn,WA7 3BB,53.3145531,-2.6641998
Beefeater Priory Marina,Barkers Lane,,Bedford,,MK41 9DJ,52.13226539999999,-0.4375185
Beefeater Quay House,Quays,The Quays,Salford,Greater Manchester,M50 3SQ,53.4714085,-2.2880199
Beefeater Rackstraw Farm,221 Yorktown Road,College Town,Sandhurst,Bracknell Forest,GU47 0RT,51.34570309999999,-0.7860358
Beefeater Reading Gateway,Imperial Way,,Reading,,RG2 0TA,51.4174193,-0.9735747
Beefeater Red House,Redbridge Lane East,,Ilford,Greater London,IG4 5BG,51.5768286,0.0450226
Beefeater Redditch North,Bordesley Lane,,Redditch,Worcestershire,B97 6AQ,52.315987,-1.939
Beefeater Roman Way,Lincoln Road,,Newark,Nottinghamshire,NG24 2DB,53.09271940000001,-0.7903074999999999
Beefeater Royal Oak,London Road Wrotham Heath,Wrotham Heath,Sevenoaks,Kent,TN15 7RX,51.2977552,0.3422012
Beefeater Rusty Cutter,65 Bedhampton Hill Road,Bedhampton,Havant,Hampshire,PO9 3JN,50.8512648,-1.0109175
Beefeater Smugglers Haunt,Ringwood Road,,Ferndown,Dorset,BH22 9BB,50.810726,-1.874612
Beefeater Springwood Park,Tytherington Business Park,Springwood Way,Tytherington,Macclesfield,SK10 2XA,53.2848661,-2.1229935
