Name,Line 1,Line 2,Town,County,Postcode,lat,lng
Burger King,3151 Matlock Road,Mansfield,Tarrant County,,76063,32.6085232,-97.1174793
Burger King,Unit 4 Marine Point,New Brighton,Wallasey,Merseyside,CH45 2HZ,53.4411082,-3.0451568
Burger King,7 Harewood Avenue,,London,Greater London,NW1 6JJ,51.5226568,-0.1634588
Burger King,Brierley Hill DY5 1LL,,Brierley Hill,West Midlands,DY5 1LL,52.4881467,-2.1184165
Burger King,Priory Retail park,,London,Greater London,SW19 1DN,51.4166095,-0.1795016
Burger King,Greenham Road,,Newbury,West Berkshire,RG14 7HZ,51.3965956,-1.3198492
Burger King,Unit 2,,Newcastle upon Tyne,Tyne and Wear,NE1 7DE,54.9748883,-1.6119347
Burger King,Oaks Drive,Fordham Road,Newmarket,Suffolk,CB8 7SX,52.2630325,0.397724
Burger King,Unit 6 Coppins Bridge Leisure Park,Isle of Wight,Newport,,PO30 2TA,50.6986562,-1.289241
Burger King,Sweet Briar Road,,Norwich,Norfolk,NR6 5AL,52.6503396,1.2613804
Burger King,Castle Quarter,,Norwich,Norfolk,NR1 3JX,52.6272805,1.296264
Burger King,lady bay retail park,Meadow Lane,Nottingham,,NG2 3GZ,52.9465162,-1.1315147
Burger King,1003 Highway 21 South,Oxford,Calhoun County,,36203,33.6086216,-85.8274028
Burger King,99 New George Street,,Plymouth,,PL1 1RQ,50.371112,-4.1466329
Burger King,34 Cabot Lane,,Poole,Dorset,BH17 7LG,50.7439882,-1.9861017
Burger King,3 Anderson Street,Glasgow,Port Glasgow,Inverclyde,PA14 5EP,55.9363773,-4.6901275
Burger King,158 Commercial Road,,Portsmouth,,PO1 1EX,50.8008712,-1.0894121
Burger King,Saint Mary's Butts,,Reading,,RG1 2LN,51.4546513,-0.9750702
Burger King,3419 North 5th Street Highway,Reading,Berks County,,19605,40.3864537,-75.9270067
Burger King,59 Sauchiehall Street,,Glasgow,Glasgow City,G2 3AT,55.8643351,-4.2553596
Burger King,Lakeside Retail Park,,Scunthorpe,North Lincolnshire,DN16 3UA,53.5647779,-0.6167296
Burger King,Station,Sheaf Street,Sheffield City Centre,Sheffield,S1 2BQ,53.378386,-1.4627073
Burger King,15-17 High Street,,Solihull,West Midlands,B91 3SJ,52.4138774,-1.7789737
Burger King,McArthur Glen Outlet Store,Mansfield,Alfreton,Derbyshire,DE55 2ER,53.107389,-1.309114
Burger King,Ferrymiur Retail Park,,South Queensferry,Edinburgh,EH30 9QU,55.9832364,-3.3979574
Burger King,98 Above Bar Street,,Southampton,,SO14 7DT,50.905663,-1.4041778
Burger King,234-240 Burgess Road,Swaythling,Southampton,,SO16 3AU,50.9384222,-1.3892445
Burger King,Springfield Quay,Paisley Road,West,Glasgow,G5 8NP,55.8542696,-4.2735173
Burger King,102 East Main Street,Havelock,Craven County,,28532,34.8822543,-76.9102567
Burger King,SPRINGKERSE RETAIL PARK,,Stirling,,FK7 7TL,56.114359,-3.908839
Burger King,Straiton Road,,Loanhead,Midlothian,EH20 9NS,55.8829073,-3.1680164
Burger King,Queen's Drive,,Swindon,,SN3 1AR,51.5623053,-1.7695121
Burger King,Unit 9 Tunnel Industrial Estate,Lakeside Retail Park,West Thurrock,Grays,RM20 3LP,51.485829,0.2714
Burger King,Unit C5,,London,Greater London,N15 4QD,51.5875615,-0.0622487
Burger King,2306 Park Avenue,Muscatine,Muscatine County,,52761,41.448576,-91.0309208
Burger King,Axletree Way,,Wednesbury,West Midlands,WS10 9QY,52.5665458,-2.0069362
Burger King,Retail Park,Armstrong Way,Willenhall,West Midlands,WV13 2PZ,52.576288,-2.046682
Burger King,Wellington Road,,Wokingham,,RG40 2AT,51.4069989,-0.8382217
Burger King,Border Retail Park,Holt Road,Wrexham,Wrexham Principal Area,LL13 8HL,53.0474925,-2.9857463
Burger King,2 Middle Street,,Yeovil,Somerset,BA20 1LZ,50.9413858,-2.6318783
Burger King,3 Whitehill Road,,Edinburgh,,EH15 3HR,55.9320616,-3.1049122
