Name,Line 1,Line 2,Town,County,Postcode,lat,lng
Pret A Manger,95 Farringdon Road,,London,Greater London,EC1R 3BT,51.52234600000001,-0.1073741
Pret A Manger,21 Exmouth Market,,London,Greater London,EC1R 4QD,51.52566210000001,-0.1098603
Pret A Manger,161,City Road,London,Greater London,EC1V 1NR,51.5278419,-0.0893808
Pret A Manger,182 Saint John Street,,London,Greater London,EC1V 4JZ,51.5245832,-0.1031328
Pret A Manger,402 Saint John Street,,London,Greater London,EC1V 4NJ,51.5310667,-0.1057944
Pret A Manger,17 City Road,,London,Greater London,EC1Y 1AG,51.522545,-0.0868987
Pret A Manger,70 Chiswell Street,,London,Greater London,EC1Y 4AB,51.52056289999999,-0.0894899
Pret A Manger,Whitecross Street,,London,Greater London,EC1Y 8NX,51.5220193,-0.0924893
Pret A Manger,1 Finsbury Square,,London,Greater London,EC2A 1AE,51.520764,-0.0874647
Pret A Manger,57 Great Eastern Street,,London,Greater London,EC2A 3QD,51.524587,-0.0811583
Pret A Manger,201 Bishopsgate,,London,Greater London,EC2M 3AB,51.5213285,-0.0788149
Pret A Manger,192 Bishopsgate,,London,Greater London,EC2M 4NR,51.5179142,-0.079751
Pret A Manger,280 Bishops Square,,London,Greater London,EC2M 4RB,51.519698,-0.0779633
Pret A Manger,London EC2M 5NG,,London,Greater London,EC2M 5NG,51.5163735,-0.0846633
Pret A Manger,165-166 London Wall,,London,Greater London,EC2M 5QD,51.5172822,-0.08788399999999999
Pret A Manger,Unit 3,Moorgate Halls,Morgate,London,EC2M 6XB,51.519135,-0.089585
Pret A Manger,17 Eldon Street,,London,Greater London,EC2M 7LA,51.5182934,-0.0847985
Pret A Manger,19-20 Liverpool Street,,London,Greater London,EC2M 7PD,51.5173132,-0.082427
Pret A Manger,Station,Broadgate Link,London,Greater London,EC2M 7PY,51.5190515,-0.08151760000000001
Pret A Manger,55 Bishopsgate,,London,Greater London,EC2N 3AS,51.5151195,-0.08291509999999999
Pret A Manger,67 Coleman Street,,London,Greater London,EC2R 5BT,51.5163652,-0.0896434
Pret A Manger,141 Cheapside,,London,Greater London,EC2V 6BJ,51.5145843,-0.09606669999999999
Pret A Manger,5 Aldermanbury,,London,Greater London,EC2V 7HR,51.5172645,-0.0934764
Pret A Manger,5 Aldermanbury,,London,Greater London,EC2V 7HR,51.5172645,-0.0934764
Pret A Manger,30 Gresham Street,,London,Greater London,EC2V 7PG,51.51502559999999,-0.0923518
Pret A Manger,Unit 3 CityPoint,,London,Greater London,EC2Y 9AW,51.5191352,-0.08958519999999999
Pret A Manger,133 Houndsditch,,London,Greater London,EC3A 7BX,51.5151869,-0.0782797
Pret A Manger,25 Saint Mary Axe,,London,Greater London,EC3A 8AA,51.5146472,-0.0810306
Pret A Manger,19 Eastcheap,,London,Greater London,EC3M 1BU,51.5108202,-0.08444299999999999
Pret A Manger,63 Fenchurch Street,,London,Greater London,EC3M 4AQ,51.5121368,-0.0797263
Pret A Manger,28 Fenchurch Avenue,,London,Greater London,EC3M 5AD,51.5127288,-0.08144789999999999
Pret A Manger,125-135 Fenchurch Street,,London,Greater London,EC3M 5DJ,51.512054,-0.082075
Pret A Manger,85 Aldgate High Street,,London,Greater London,EC3N 1LH,51.513582,-0.07624220000000001
Pret A Manger,3 America Square,,London,Greater London,EC3N 2LR,51.51151540000001,-0.07569229999999999
Pret A Manger,1 Great Tower Street,,London,Greater London,EC3R 5AA,51.51029339999999,-0.08260180000000002
Pret A Manger,77-80 Gracechurch Street,,London,Greater London,EC3V 0AS,51.51243729999999,-0.0845759
Pret A Manger,14-16 Lombard Street,,London,Greater London,EC3V 9AU,51.5126979,-0.0877203
Pret A Manger,110 Fetter Lane,,London,Greater London,EC4A 1ES,51.5159124,-0.1093915
Pret A Manger,24 Farringdon Street,,London,Greater London,EC4A 4AB,51.515704,-0.104021
Pret A Manger,19-21 Ludgate Hill,,London,Greater London,EC4M 7AE,51.5137081,-0.1013007
Pret A Manger,110 Paternoster Square,,London,Greater London,EC4M 7DY,51.51482910000001,-0.0991663
Pret A Manger,49-52 Bow Lane,,London,Greater London,EC4M 9DJ,51.5133307,-0.0934306
Pret A Manger,90 Queen Street,,London,Greater London,EC4N 1SA,51.5134161,-0.0922043
Pret A Manger,95,Cannon Street,London,Greater London,EC4N 5AE,51.5118349,-0.09052339999999999
Pret A Manger,52-54 Cannon Street,,London,Greater London,EC4N 6LY,51.512026,-0.0925472
Pret A Manger,85 King William Street,,London,Greater London,EC4N 7BL,51.51246700000001,-0.087756
Pret A Manger,43 King William Street,,London,Greater London,EC4R 9AN,51.5097667,-0.08678609999999999
Pret A Manger,128,Queen Victoria Street,London,Greater London,EC4V 4BY,51.5120296,-0.09757199999999999
Pret A Manger,101 New Bridge Street,,London,Greater London,EC4V 6JJ,51.5135892,-0.1040476
Pret A Manger,143 Fleet Street,,London,Greater London,EC4Y 1HY,51.514323,-0.107067
Pret A Manger,Unit 2b Edinburgh Waverley Station,,Edinburgh,,EH1 1BB,55.95209999999999,-3.1895944
Pret A Manger,30 North Bridge,,Edinburgh,,EH1 1QG,55.9509201,-3.1882562
Pret A Manger,51 Hanover Street,,Edinburgh,,EH2 2PJ,55.9531806,-3.1968362
Pret A Manger,25 Castle Street,,Edinburgh,,EH2 3DN,55.9520924,-3.2030766
Pret A Manger,135 Princes Street,,Edinburgh,,EH2 4BL,55.9505607,-3.2062218
Pret A Manger,116 Lothian Road,,Edinburgh,,EH3 9BE,55.9459315,-3.2058221
Pret A Manger,Michael House,High Street,Exeter,Devon,EX4 3PZ,50.7250775,-3.5285832
Pret A Manger,144-146 Queen Street,,Glasgow,Glasgow City,G1 3BS,55.86071949999999,-4.2513721
Pret A Manger,27 Gordon Street,,Glasgow,Glasgow City,G1 3PL,55.8603083,-4.2552977
Pret A Manger,27,Gordon Street,Glasgow,Glasgow City,G1 3SL,55.8596954,-4.2581653
Pret A Manger,268 Byres Road,Hillhead,Glasgow,Glasgow City,G12 8SH,55.8755576,-4.293191
Pret A Manger,34 Sauchiehall Street,,Glasgow,Glasgow City,G2 3AH,55.8644944,-4.2542833
Pret A Manger,65-69 Bothwell Street,,Glasgow,Glasgow City,G2 6TS,55.8611111,-4.2611111
Pret A Manger,163-165,High Street,Cheltenham,Gloucestershire,GL50 1DF,51.90038999999999,-2.0734495
Pret A Manger,26-28 Swan Lane,,Guildford,Surrey,GU1 4EQ,51.236308,-0.574325
Pret A Manger,41 WOLSEY WALK SHOPPING CENTRE,,Woking,Surrey,GU21 2XX,51.3196401,-0.5586559
Pret A Manger,68 - 70 St Anns Road,,Harrow,Greater London,HA1 1JX,51.5815993,-0.3368019
Pret A Manger,Units 46-48,,Wembley,Greater London,HA9 0FD,51.5566129,-0.2833056
Pret A Manger,1 Church Street,Market Place,Kingston upon Thames,,KT1 1JP,51.410051,-0.305786
Pret A Manger,85-87 Clarence Street,,Kingston upon Thames,Greater London,KT1 1RB,51.4109324,-0.3020569
Pret A Manger,STATION,,Kingston upon Thames,Greater London,KT1 1UJ,51.41258819999999,-0.3011853
Pret A Manger,95 High Street,,Epsom,Surrey,KT18 5DA,51.3331648,-0.2672966
Pret A Manger,107-109,Market Street,St Andrews,Fife,KY16 9NX,56.34057199999999,-2.7965812
Pret A Manger,4 Paradise Street,,Liverpool,Merseyside,L1 8BQ,53.4035091,-2.9865185
Pret A Manger,3 Derby Square,,Liverpool,Merseyside,L2 9UJ,53.40534839999999,-2.9895747
Pret A Manger,1 Old Hall Street,,Liverpool,Merseyside,L3 9SX,53.4082024,-2.9929926
Pret A Manger,10 Infirmary Street,,Leeds,West Yorkshire,LS1 2JP,53.79766850000001,-1.5484485
Pret A Manger,32 Bond Street,,Leeds,West Yorkshire,LS1 5BQ,53.796781,-1.5445708
Pret A Manger,New Station Street,,Leeds,West Yorkshire,LS1 5DL,53.79539339999999,-1.5475035
Pret A Manger,6 Lands Lane,,Leeds,West Yorkshire,LS1 6AW,53.7977333,-1.5434494
Pret A Manger,Unit 20-21,,Leeds,West Yorkshire,LS2 7JL,53.7984076,-1.5381385
Pret A Manger,Airport,Airport Way,Luton,,LU2 9LY,51.8808015,-0.3751423
Pret A Manger,Airport,Airport Way,Luton,,LU2 9LY,51.8808015,-0.3751423
Pret A Manger,1 Portland Street,,Manchester,Greater Manchester,M1 1RG,53.4803343,-2.2362788
Pret A Manger,Unit 3 Concourse,,Manchester,Greater Manchester,M1 2BN,53.477556,-2.2314805
Pret A Manger,34 Oxford Street,,Manchester,Greater Manchester,M1 5EL,53.4762726,-2.2428598
Pret A Manger,"124 Oxford Rd, Manchester M13 9RD Oxford Road",,Manchester,Greater Manchester,M13 9RD,53.46797410000001,-2.2354506
Pret A Manger,Selfridge's Intu Trafford Centre,Trafford Park,Stretford,Manchester,M17 8DA,53.4661664,-2.3477468
Pret A Manger,27 Cross Street,,Manchester,Greater Manchester,M2 1WL,53.481862,-2.2443203
Pret A Manger,27 Cross Street,,Manchester,Greater Manchester,M2 1WL,53.481862,-2.2443203
Pret A Manger,79-81 Deansgate,,Manchester,Greater Manchester,M3 2BW,53.4820641,-2.2469939
Pret A Manger,Unit R2 4 Hardman Square,,Manchester,Greater Manchester,M3 3EB,53.4797196,-2.2517985
Pret A Manger,Media City,,Salford,Greater Manchester,M50 2HE,53.4728393,-2.2967482
Pret A Manger,Manchester Airport,landside,Manchester,Greater Manchester,M90 3FE,53.362343,-2.2732487
Pret A Manger,15,Fremlin Walk,London,Maidstone,ME14 1QG,51.275229,0.521274
